attempt_id,scenario_id,pack,system_id,model,provider,route,prompt_lane,attempt_index,experiment_id,planned,retained,exclusion_reason,public_pass,hidden_pass,false_green,duration_seconds,patch_sha256,source_id,started_at
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:async_export_race:1,async_export_race,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,1,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,399.50472679200175,d5833d7a5696efdea8901191a11c7582f9439530749f288c30e3800258f2f96f,b_laguna_ci_cv,2026-06-22T21:31:23+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:async_export_race:2,async_export_race,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,2,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,409.8624651660066,d5833d7a5696efdea8901191a11c7582f9439530749f288c30e3800258f2f96f,b_laguna_ci_cv,2026-06-23T00:13:06+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:async_export_race:3,async_export_race,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,3,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,110.870958332991,d5833d7a5696efdea8901191a11c7582f9439530749f288c30e3800258f2f96f,b_laguna_ci_cv,2026-06-23T00:41:07+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:config_deep_merge:1,config_deep_merge,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,1,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,87.85730558300565,bc339ce36603b5d784f27d0d62b45c776a83d3d20ba5bbf8cb5fa209f40d06ad,b_laguna_ci_cv,2026-06-22T21:38:17+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:config_deep_merge:2,config_deep_merge,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,2,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,411.2838910410064,a8af6e5f0ff95a7c637227af94be111ed025723e3f16062fa23b49e3ee3de8ff,b_laguna_ci_cv,2026-06-23T00:20:10+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:config_deep_merge:3,config_deep_merge,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,3,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,53.66503137499967,bc339ce36603b5d784f27d0d62b45c776a83d3d20ba5bbf8cb5fa209f40d06ad,b_laguna_ci_cv,2026-06-23T00:43:13+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:csv_header_contract:1,csv_header_contract,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,1,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,132.62663866700314,db347352504099eab31f680c468529723c7e66082752c0d63044fc5050d8ba92,b_laguna_ci_cv,2026-06-22T21:40:00+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:csv_header_contract:2,csv_header_contract,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,2,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,45.41758758299693,db347352504099eab31f680c468529723c7e66082752c0d63044fc5050d8ba92,b_laguna_ci_cv,2026-06-23T00:27:17+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:csv_header_contract:3,csv_header_contract,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,3,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,0,1,23.117223499997635,3ecde3bd7efadde1c0ad6aab14be432b2f7b28bb6952fa8df60580ff1817f116,b_laguna_ci_cv,2026-06-23T00:44:21+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:decimal_money_rounding:1,decimal_money_rounding,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,1,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,95.6015292499942,5a39a2c4d4bf7603ecffbf3f29674871afbc9728613f062efca8bcdc9717cb6f,b_laguna_ci_cv,2026-06-22T21:42:28+00:00
study-b:b_laguna_ci_cv:laguna-xs2:contract_visible:decimal_money_rounding:2,decimal_money_rounding,ci_forensics,laguna-xs2,openrouter/poolside/laguna-xs.2:free,openrouter,openrouter,contract_visible,2,laguna-xs2-vs-north-mini-2026-06-22-laguna-xs2-ci_forensics-contract_visible,1,1,,1,1,0,27.6993465419946,5a39a2c4d4bf7603ecffbf3f29674871afbc9728613f062efca8bcdc9717cb6f,b_laguna_ci_cv,2026-06-23T00:28:17+00:00
