attempt_id,scenario_id,pack,system_id,model,provider,route,prompt_lane,attempt_index,experiment_id,planned,retained,exclusion_reason,public_pass,hidden_pass,false_green,duration_seconds,patch_sha256,source_id,started_at
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:adapter_field_rename:1,adapter_field_rename,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2350475830026,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:35:07+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:batch_splitter_utility:1,batch_splitter_utility,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2349844169803,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:39:17+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:docs_cli_sync:1,docs_cli_sync,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2597304158844,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:43:28+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:explicit_validation_matrix:1,explicit_validation_matrix,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2440164159052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:47:38+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:fixture_schema_migration:1,fixture_schema_migration,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.23618666594848,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:51:48+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:generated_openapi_refresh:1,generated_openapi_refresh,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2341273338534,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T17:55:58+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:import_hygiene_fix:1,import_hygiene_fix,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.24254854070023,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T18:00:09+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:logger_warn_migration:1,logger_warn_migration,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2419262919575,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T18:04:19+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:regression_test_gap:1,regression_test_gap,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.2283174591139,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T18:08:29+00:00
supporting-gemma:gemma_smallest_12b_cv:gemma4-12b:contract_visible:utcnow_timezone_migration:1,utcnow_timezone_migration,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,contract_visible,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-contract_visible,1,1,,0,0,0,240.22906649997458,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_cv,2026-06-20T18:12:39+00:00
supporting-gemma:gemma_smallest_12b_sparse:gemma4-12b:sparse:adapter_field_rename:1,adapter_field_rename,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,sparse,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-sparse,1,1,,1,0,1,137.7030954589136,18d9d16c010be2ec939637420772e4619a23bc897ff3309eab0880b9911c47d2,gemma_smallest_12b_sparse,2026-06-20T16:22:24+00:00
supporting-gemma:gemma_smallest_12b_sparse:gemma4-12b:sparse:batch_splitter_utility:1,batch_splitter_utility,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,sparse,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-sparse,1,1,,1,0,1,148.27198725007474,3c4637346cb88c8556aaa9d7a7bb78946cfd820f7bd6f85f7d77e1629974bd09,gemma_smallest_12b_sparse,2026-06-20T16:24:52+00:00
supporting-gemma:gemma_smallest_12b_sparse:gemma4-12b:sparse:docs_cli_sync:1,docs_cli_sync,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,sparse,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-sparse,1,1,,0,0,0,63.59294162457809,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,gemma_smallest_12b_sparse,2026-06-20T16:27:30+00:00
supporting-gemma:gemma_smallest_12b_sparse:gemma4-12b:sparse:explicit_validation_matrix:1,explicit_validation_matrix,maintenance_value,gemma4-12b,ollama/gemma4:12b,ollama,ollama-local,sparse,1,local-gemma4-smallest-two-2026-06-20-gemma4-12b-maintenance_value-sparse,1,1,,0,0,0,900.2771760839969,172945f8b97d0a11ae6771b8e56c2cd2599ccf9b6bd1d4e8e34987ea574f88a7,gemma_smallest_12b_sparse,2026-06-20T16:28:44+00:00
